004695a.dat	Sticker  1.0 x  1.5 with Shell Logo 1971
004695b.dat	Sticker  1.9 x  1.9 with Shell Logo 1971
004695c.dat	Sticker Minifig Torso with Shell Logo 1971
004695d.dat	Sticker  2.4 x  5.3 with "Shell"
004695e.dat	Sticker  1.0 x  2.0 with 12V Battery Top
004711a.dat	=Sticker Minifig Torso with White Buttons and Police Badge Plain
004711b.dat	Sticker  1.1 x  3.9 with Black Town Car Grille on White Background
004711c.dat	Sticker  0.4 x  2.4 with Thin Black "POLICE"
004747a.dat	Sticker  1.9 x  3 with White "183" on Red
004747b.dat	=Sticker  2.6 x  5.5 with Black "International TRANSPORT" on Yellow
004751a.dat	Sticker  1.1 x  3.9 with White "Rolls-Royce" on Black Background
004751b.dat	Sticker  1.1 x  0.9 with Red Rolls-Royce Logo on White Background
004757a.dat	Sticker  1.3 x  1.3 with White French Railways Logo ("SNCF")
004757b.dat	Sticker  1.3 x  1.3 with White Belgian Railways Logo ("B")
004757c.dat	Sticker  1.3 x  1.3 with White German Railways Logo ("DB")
004757d.dat	Sticker  1.3 x  1.3 with White Austrian Railways Logo
004757e.dat	Sticker  2.3 x  1.3 with Black Train Window with Light Grey Trim
004757f.dat	Sticker  0.9 x  1.5 with White Netherlands Railways Logo on Red Background
004760a.dat	Sticker  1.1 x 15.9 with Black "GÜTERBAHNHOF" on Yellow Background
004760b.dat	Sticker  2.3 x  1.9 with Light Grey "TRANSPORT" on Crate on Yellow Background
004762a.dat	Sticker  1.1 x  3.9 with Black Town Car Grille on Red Background
004762b.dat	=Sticker Minifig Torso with Red Cross Logo
004762c.dat	=Sticker  0.8 x  0.8 with Red Cross Logo
004845a.dat	Sticker  3.1 x  3.1 with Refrigeration Symbol
004847a.dat	Sticker  0.7 x  1.9 with Black "L-393" on Yellow Background
004847b.dat	Sticker  0.9 x  2.5 with White Norton Logo on Blue Background
004847c.dat	Sticker  0.9 x  1.9 with White "Commando 850" Logo on Blue Background
004848a.dat	Sticker  0.7 x  3.9 with White "Harley-Davidson" on Black Background
004848b.dat	Sticker  0.7 x  1.9 with Black "L-394" on Yellow Background
004848c.dat	Sticker  1.1 x  3.9 with White "POLICE" on Blue Background
005048a.dat	=Sticker  2.4 x  3 with United States Flag
005048b.dat	=Sticker  2.4 x  3 with United States Flag (Mirrored)
0901.dat	Baseplate 16 x 30 with Set 080 Yellow House Studs
0902.dat	Baseplate 16 x 24 with Set 080 Small White House Studs
0903.dat	Baseplate 16 x 24 with Set 080 Red House Studs
0904.dat	Baseplate 16 x 24 with Set 080 Large White House Studs
1-16chrd.dat	Chord 0.0625
1-16con1.dat	Cone  1 x 0.0625
1-16con13.dat	Cone 13 x 0.0625
1-16con16.dat	Cone 16 x 0.0625
1-16con3.dat	Cone  3 x 0.0625
1-16con6.dat	Cone  6 x 0.0625
1-16con7.dat	Cone  7 x 0.0625
1-16cylc.dat	Cylinder Closed 0.0625
1-16cyli.dat	Cylinder 0.0625
1-16cylo.dat	Cylinder Open 0.0625
1-16cyls2.dat	Cylinder Sloped 0.0625 Convex
1-16disc.dat	Disc 0.0625
1-16edge.dat	Circle 0.0625
1-16ndis.dat	Disc Negative 0.0625
1-16ri19.dat	Ring 19 x 0.0625
